,,Ruzicka
OA,PTKA,0.01839080459770115
APPR,AVREL,0.01838235294117647
DDS,DIART,0.01834862385321101
DPOSA,PRF,0.01834862385321101
PPER,VVFIN.konj,0.018276762402088774
ADJS,AVD,0.018274111675126905
AVD,DIA,0.018259935553168637
DRELS,KO*,0.01818181818181818
PNEG,PTKG,0.01818181818181818
VAINF,VMINF,0.01818181818181818
DPOSN,VAFIN.*,0.01818181818181818
AVG,DRELS,0.01818181818181818
CARDA,PI,0.01791044776119403
CARDS,PPER,0.017857142857142856
VAFIN.ind,VKPP,0.017857142857142856
VAFIN.*,VAPP,0.017857142857142856
DRELA,PTKA,0.017857142857142856
PTKA,VVIMP,0.017543859649122806
AVREL,DPOSS,0.017543859649122806
PG,VVIMP,0.017543859649122806
CARDA,DIS,0.01744186046511628
DPOSD,PPER,0.017391304347826087
DIART,DPOSA,0.017391304347826087
ADJV,PTKN,0.017361111111111112
DGA,KOUS,0.017341040462427744
CARDA,DDART,0.017316017316017316
KOUS,VKFIN.*,0.017241379310344827
PPER,PTKG,0.017241379310344827
CARDN,PNEG,0.01694915254237288
PTKG,VAFIN.*,0.01694915254237288
DDS,VKFIN.*,0.01694915254237288
DIS,PG,0.01694915254237288
DDART,PTKA,0.01694915254237288
AVREL,PTKVZ,0.01694915254237288
AVD,DDS,0.01680672268907563
KON,PAVG,0.01680672268907563
CARDS,PI,0.01680672268907563
ADJD,VVFIN.konj,0.016709511568123392
ADJA<VVPP,ADJN,0.016597510373443983
AVREL,DIART,0.01639344262295082
KON,PTKG,0.016260162601626018
DDA,DIA,0.016260162601626018
AVD,PPER,0.016241299303944315
KOUS,VAFIN.ind,0.016216216216216217
DIN,PG,0.016129032258064516
DDS,PTKA,0.016129032258064516
PKOR,PTKA,0.016129032258064516
VAFIN.ind,VVIMP,0.016129032258064516
ADJV,APPR,0.01609657947686117
VKFIN.*,VVFIN.ind,0.016049382716049384
DDS,VMFIN.ind,0.016
VAINF,VMFIN.konj,0.015873015873015872
VAFIN.*,VMINF,0.015873015873015872
AVNEG,PTKA,0.015873015873015872
DGA,DIART,0.015873015873015872
DIS,PPER,0.015748031496062992
PPER,VMFIN.konj,0.015625
FM,XY,0.015625
CARDS,PTKG,0.015625
PAVD,PG,0.015625
AVREL,PTKN,0.015625
AVD,PKOR,0.015544041450777202
DPOSA,PTKA,0.015384615384615385
PTKVZ,VAINF,0.015384615384615385
APPO,PTKA,0.015384615384615385
NA,NE,0.015280135823429542
DRELA,KON,0.015267175572519083
PPER,VMFIN.*,0.015228426395939087
PAVD,PPER,0.015151515151515152
DPOSS,PTKA,0.015151515151515152
DRELS,VVIMP,0.015151515151515152
OA,VVFIN.*,0.015058179329226557
ADJS,PTKN,0.015037593984962405
APPO,PPER,0.015037593984962405
CARDA,PPER,0.015037593984962405
KOUS,VVFIN.*,0.014937759336099586
CARDS,DDART,0.014925373134328358
NA,VVFIN.konj,0.014882032667876587
DDA,KOUS,0.014778325123152709
VAFIN.*,VVIMP,0.014705882352941176
PAVAP,PTKNEG,0.014705882352941176
KON,PKOR,0.014598540145985401
ADJA<VVPS,VVPS,0.014563106796116505
AVD,NA,0.014521782674011016
OA,PKOR,0.014492753623188406
DDA,KO*,0.014492753623188406
PG,VKFIN.ind,0.014492753623188406
OA,PAVD,0.014423076923076924
ADJD,PAVAP,0.01437699680511182
DIA,DIART,0.014354066985645933
APPR,PI,0.014285714285714285
KOUS,PAVG,0.014285714285714285
VKFIN.ind,VMFIN.ind,0.014285714285714285
DIART,PTKA,0.014285714285714285
AVD,VVFIN.*,0.014277869302580999
ADJV,APPO,0.014234875444839857
DPOSA,VAFIN.*,0.014184397163120567
ADJD,NA,0.014096762965541246
VVFIN.konj,VVPP,0.014074595355383532
AVREL,OA,0.014018691588785047
CARDS,PTKVZ,0.013986013986013986
DPOSS,PAVAP,0.013888888888888888
CARDS,VKFIN.konj,0.013888888888888888
VAINF,VKFIN.ind,0.013888888888888888
PTKVZ,VVFIN.*,0.013876843018213356
VMFIN.*,VVFIN.*,0.013852813852813853
OA,PG,0.013729977116704805
DIA,PPER,0.0136986301369863
PG,PTKN,0.0136986301369863
VVFIN.konj,VVINF,0.013664596273291925
NE,VVINF,0.013550135501355014
VAFIN.ind,VVFIN.*,0.013440860215053764
ADJD,APPR,0.013404825737265416
DIA,PG,0.013392857142857142
NE,VVFIN.ind,0.013346515076618883
DPOSS,DRELS,0.013333333333333334
ADJA<VVPP,VAINF,0.013333333333333334
DPOSA,KOUS,0.01327433628318584
DDA,VMFIN.*,0.013157894736842105
KON,PPER,0.013157894736842105
NA,VVPP,0.01313937118723604
PG,PPER,0.013071895424836602
KOUS,VVIMP,0.013071895424836602
PI,PNEG,0.013043478260869565
DDART,DDD,0.012987012987012988
APPR,VVFIN.*,0.012987012987012988
PPER,VMFIN.ind,0.012987012987012988
DDART,DPDS,0.012987012987012988
ADJD,PPER,0.012965964343598054
NE,VVFIN.*,0.01294777729823047
DIS,KOUS,0.012903225806451613
APPO,AVD,0.01287001287001287
DDART,DDSA,0.01282051282051282
ADJA<VVPP,VVPP,0.012769353551476457
ADJA,VVFIN.ind,0.01270994098955969
DIN,KOUS,0.012658227848101266
KOUS,VAFIN.konj,0.012658227848101266
DIART,DRELS,0.012658227848101266
PG,VKFIN.*,0.012658227848101266
APPR,DDART,0.012658227848101266
AVD,VVFIN.konj,0.012633624878522837
VMFIN.ind,VVFIN.konj,0.012578616352201259
AVNEG,KOUS,0.012578616352201259
CARDS,PRF,0.0125
AVD,VVINF,0.0124282982791587
APPO,KOUS,0.012422360248447204
VAFIN.ind,VVFIN.konj,0.012422360248447204
KON,VMFIN.ind,0.012422360248447204
DPOSS,KOUS,0.012345679012345678
DRELS,PPER,0.012345679012345678
KOKOM,VAFIN.*,0.012345679012345678
AVREL,VAFIN.ind,0.012345679012345678
ADJN,AVD,0.01233183856502242
PAVAP,VMFIN.ind,0.012195121951219513
DDA,PI,0.012195121951219513
DDART,PTKZU,0.012195121951219513
APPR,DPOSA,0.012195121951219513
ADJN,VVPS,0.0121580547112462
DDS,DPDS,0.012048192771084338
DIART,KOUS,0.012048192771084338
DDD,DDS,0.012048192771084338
DDS,DDSA,0.011904761904761904
PTKN,VAFIN.*,0.011904761904761904
APPR,VVFIN.ind,0.011799410029498525
PG,PTKA,0.011764705882352941
KON,VAFIN.*,0.011695906432748537
APPR,DIS,0.011673151750972763
ADJN,PAVAP,0.011627906976744186
CARDA,PTKNEG,0.011627906976744186
DDS,KO*,0.011627906976744186
PTKVZ,VMFIN.*,0.011627906976744186
DPOSA,PTKVZ,0.011560693641618497
AVREL,VAFIN.*,0.011494252873563218
DDA,PAVD,0.011494252873563218
PTKREL,VMFIN.*,0.011363636363636364
CARDA,PKOR,0.011363636363636364
VAFIN,VMFIN.*,0.011363636363636364
PI,PTKVZ,0.011278195488721804
DPOSA,DPOSGEN,0.011235955056179775
VAINF,VMFIN.ind,0.011235955056179775
ADJA,DIA,0.0111731843575419
OA,VAFIN.*,0.011135857461024499
DPOSA,DPOSN,0.011111111111111112
PG,VAFIN.ind,0.011111111111111112
ADJN,PTKA,0.011111111111111112
ADJD,OA,0.01107419712070875
VMFIN.*,VVFIN.konj,0.011049723756906077
PPER,VVFIN.*,0.010998307952622674
KOUS,VMFIN.ind,0.01098901098901099
DGS,PI,0.01092896174863388
DDA,KON,0.01092896174863388
DDN,PI,0.01092896174863388
DPOSD,VMFIN.*,0.010869565217391304
DDS,PAVREL,0.010869565217391304
ADJD,KOUS,0.010835913312693499
